,City,Latitude,Longitude,Max Temp,Humidity,Wind Speed,Cloudiness,Country,Date
0,Coffs Harbour,-30.3,153.1333,63.45,73,5.35,54,AU,1599436800
1,Zacapú,19.8333,-101.7167,66.63,86,1.43,87,MX,1599436800
2,Jalu,29.0331,21.5482,77.36,54,12.82,0,LY,1599436800
3,Khatanga,71.9667,102.5,43.38,77,4.09,22,RU,1599436800
4,Punta Arenas,-53.15,-70.9167,42.71,78,7.58,86,CL,1599436800
5,Chokurdakh,70.6333,147.9167,47.28,64,9.51,2,RU,1599436800
6,Ostrovnoy,68.0531,39.5131,52.0,82,14.5,54,RU,1599436800
7,Ciudad de Armería,18.9333,-103.9667,83.41,77,3.83,77,MX,1599436800
8,Ribeira Grande,38.5167,-28.7,69.15,72,25.01,13,PT,1599436800
9,Qaanaaq,77.484,-69.3632,24.51,82,2.95,0,GL,1599436800
10,Bluff,-46.6,168.3333,51.44,70,13.02,88,NZ,1599436800
11,Kruisfontein,-34.0033,24.7314,52.57,94,2.84,1,ZA,1599436800
12,Mataura,-46.1927,168.8643,54.5,63,3.98,56,NZ,1599436800
13,Caculé,-14.5033,-42.2222,72.91,60,5.86,35,BR,1599436800
14,Bathsheba,13.2167,-59.5167,82.09,74,11.77,27,BB,1599436800
15,Guatire,10.4762,-66.5427,77.88,79,2.17,31,VE,1599436800
16,Rikitea,-23.1203,-134.9692,73.56,84,11.25,0,PF,1599436800
17,Chui,-33.6971,-53.4616,50.61,84,7.7,7,UY,1599436800
18,Shimoda,34.6667,138.95,83.41,90,11.9,70,JP,1599436800
19,Kropotkin,45.4375,40.5756,67.51,84,6.31,97,RU,1599436800
20,Malbork,54.0359,19.0266,51.57,94,7.02,16,PL,1599436800
21,Simpang Empat,4.95,100.6333,77.56,89,2.82,69,MY,1599436800
22,Cherskiy,68.75,161.3,48.74,55,13.33,81,RU,1599436800
23,Albany,42.6001,-73.9662,64.89,70,1.28,37,US,1599436800
24,Lompoc,34.6391,-120.4579,89.62,32,9.06,1,US,1599436800
25,Kapaa,22.0752,-159.319,81.41,67,14.9,24,US,1599436800
26,Touros,-5.1989,-35.4608,75.02,75,14.54,78,BR,1599436800
27,Lorengau,-2.0226,147.2712,84.54,79,13.4,13,PG,1599436800
28,Cidreira,-30.1811,-50.2056,59.23,94,21.7,100,BR,1599436800
29,Dikson,73.5069,80.5464,41.95,81,20.38,60,RU,1599436800
30,Havre-St-Pierre,50.2334,-63.5986,52.57,80,15.03,31,CA,1599436800
31,Salalah,17.0151,54.0924,78.15,84,4.36,67,OM,1599436800
32,Kavieng,-2.5744,150.7967,83.61,77,12.12,64,PG,1599436800
33,Norman Wells,65.282,-126.8329,53.98,57,4.21,82,CA,1599436800
34,Praia da Vitória,38.7333,-27.0667,68.22,75,22.41,70,PT,1599436800
35,Polovinnoye,54.7914,65.9864,45.27,92,10.8,6,RU,1599436800
36,Morón,-34.6534,-58.6198,51.98,65,9.19,2,AR,1599436800
37,Nanortalik,60.1432,-45.2371,44.49,93,8.01,100,GL,1599436800
38,New Norfolk,-42.7826,147.0587,63.43,52,6.93,72,AU,1599436800
39,Ubinskoye,55.3068,79.6802,40.12,94,8.12,100,RU,1599436800
40,Naze,28.3667,129.4833,79.14,84,17.09,84,JP,1599436800
41,Longyearbyen,78.2186,15.6401,39.6,90,2.68,87,SJ,1599436800
42,Lavrentiya,65.5833,-171.0,44.42,71,20.13,93,RU,1599436800
43,Vukovar,45.3433,18.9997,65.57,71,1.97,0,HR,1599436800
44,Plettenberg Bay,-34.0527,23.3716,56.95,86,5.97,9,ZA,1599436800
45,Manta,-0.95,-80.7333,73.31,77,12.8,58,EC,1599436800
46,Phitsanulok,16.9167,100.5,75.78,95,2.89,100,TH,1599436800
47,Ushuaia,-54.8,-68.3,37.13,86,5.01,28,AR,1599436800
48,Torbay,47.6666,-52.7314,58.15,71,6.78,39,CA,1599436800
49,San Cristobal,7.7669,-72.225,76.77,81,3.29,63,VE,1599436800
50,Gubkinskiy,64.434,76.5026,41.67,88,6.31,71,RU,1599436800
51,Geraldton,-28.7667,114.6,61.75,78,13.82,94,AU,1599436800
52,Paphos,34.7667,32.4167,75.99,73,6.8,10,CY,1599436800
53,Vardø,70.3705,31.1107,50.83,85,16.51,61,NO,1599436800
54,Port Lincoln,-34.7333,135.8667,68.11,31,29.82,100,AU,1599436800
55,Port Alfred,-33.5906,26.891,59.18,86,6.44,33,ZA,1599436800
56,Buraidah,26.326,43.975,82.49,19,6.2,0,SA,1599436800
57,Castro,-24.7911,-50.0119,67.41,57,4.74,0,BR,1599436800
58,Sioux Lookout,50.1001,-91.917,57.87,78,13.49,57,CA,1599436800
59,Yellowknife,62.456,-114.3525,47.71,57,4.09,76,CA,1599436800
60,George Town,5.4112,100.3354,78.94,88,4.79,69,MY,1599436800
61,Slave Lake,55.2834,-114.769,51.08,70,5.73,92,CA,1599436800
62,Manaus,-3.1019,-60.025,87.91,45,2.71,34,BR,1599436800
63,Si Sa Ket,15.1148,104.3294,81.12,84,7.94,75,TH,1599436800
64,Kirakira,-10.4544,161.9205,78.49,87,10.96,96,SB,1599436800
65,Mar del Plata,-38.0023,-57.5575,43.5,78,7.43,3,AR,1599436800
66,Hithadhoo,-0.6,73.0833,82.15,76,12.15,100,MV,1599436800
67,Port Elizabeth,-33.918,25.5701,57.29,94,7.38,70,ZA,1599436800
68,Vaini,-21.2,-175.2,71.65,70,20.47,63,TO,1599436800
69,Banda Aceh,5.5577,95.3222,78.53,73,6.04,100,ID,1599436800
70,Mwense,-10.3845,28.698,64.92,30,7.52,0,ZM,1599436800
71,Cape Town,-33.9258,18.4232,57.2,80,4.47,0,ZA,1599436800
72,Marsá Maţrūḩ,31.3525,27.2453,75.16,71,3.85,0,EG,1599436800
73,Pacific Grove,36.6177,-121.9166,82.29,46,5.53,1,US,1599436800
74,Sīta Road,27.0333,67.85,89.82,49,8.03,0,PK,1599436800
75,Mount Gambier,-37.8333,140.7667,63.75,41,15.52,45,AU,1599436800
76,Makkah al Mukarramah,21.4267,39.8261,89.28,37,3.13,0,SA,1599436800
77,Hervey Bay,-25.2986,152.8535,68.99,82,16.64,6,AU,1599436800
78,Klaksvík,62.2266,-6.589,52.16,97,30.02,100,FO,1599436800
79,Salinópolis,-0.6136,-47.3561,80.55,79,13.4,18,BR,1599436800
80,Fortuna,40.5982,-124.1573,87.06,37,5.37,1,US,1599436800
81,Hong Kong,22.2855,114.1577,84.52,79,4.99,60,HK,1599436800
82,Chenzhou,25.8,113.0333,73.26,93,2.35,100,CN,1599436800
83,Bredasdorp,-34.5322,20.0403,49.08,93,3.13,4,ZA,1599436800
84,Fort Nelson,58.8053,-122.7002,58.35,60,5.14,65,CA,1599436800
85,Praia,14.9215,-23.5087,79.59,79,11.03,79,CV,1599436800
86,Puerto Ayora,-0.7393,-90.3518,66.9,88,9.1,90,EC,1599436800
